"CODIGO";"DOTACAO";"GRUPO";"DESCRICAOGRUPO";"ITEM";"RECEITA";"DESCRICAOITEM";"USUARIO";"DHMODIFICACAO"
"301,000000";"263405,000000";"179";"Convênios - Renda Industrial";"333090";"S";"Outros Materiais de Consumo";"NUNO";"23/05/2011 10:40"
"302,000000";"263731,000000";"179";"Convênios";"331801";"";"Auxilio Financeiro a Estudantes";"NUNO";"21/03/2012 10:49"
"303,000000";"264010,000000";"080";"Básica - Renda Industrial";"331801";"S";"Auxílio Financeiro a Estudantes";"NUNO";"16/02/2012 09:04"
"304,000000";"264932,000000";"080";"Básica - Renda Industrial";"445110";"S";"Estudos e Projetos";"NUNO";"21/07/2010 15:53"
"305,000000";"100,000000";"080";"Básica - Renda Industrial";"100";"S";"Saldo Financeiro";"NUNO";"27/01/2016 08:53"
"306,000000";"267826,000000";"174";"Acréscimos Orçamentários - Orçamento";"333616";"";"Ajuda de Custo a Colaboradores Eventuais";"NUNO";"02/03/2011 14:02"
"307,000000";"268377,000000";"174";"Acréscimos Orçamentários - Orçamento";"445232";"";"Mobiliário em Geral";"NUNO";"20/09/2010 15:48"
"308,000000";"267540,000000";"179";"Convênios";"445234";"";"Outros Equipamentos e Material Permanente";"NUNO";"21/03/2012 10:49"
"309,000000";"271122,000000";"857";"Projetos Especiais - Renda Industrial";"333983";"S";"Serviços Gráficos";"NUNO";"16/02/2012 14:55"
"310,000000";"272757,000000";"081";"Manutenção de Edifícios - Orçamento";"333024";"";"Outros Combustíveis e Lubrificantes";"NUNO";"13/12/2010 13:30"
"311,000000";"274199,000000";"857";"Projetos Especiais - Orçamento";"333983";"";"Serviços Gráficos";"NUNO";"01/03/2011 14:55"
"312,000000";"275934,000000";"857";"Projetos Especiais - Renda Industrial";"445231";"S";"Máquinas e Motores";"NUNO";"03/01/2011 09:55"
"313,000000";"279470,000000";"082";"Equipamentos de Segurança - Renda Industrial";"445110";"S";"Estudos e Projetos";"NUNO";"23/02/2011 11:02"
"314,000000";"278694,000000";"857";"Projetos Especiais - Renda Industrial";"331801";"S";"Auxílio Financeiro a Estudantes";"NUNO";"24/02/2011 10:43"
"315,000000";"277540,000000";"857";"Projetos Especiais - Renda Industrial";"333614";"S";"Monitores";"NUNO";"18/04/2011 14:04"
"316,000000";"277701,000000";"857";"Projetos Especiais - Orçamento";"331401";"";"Diárias Pessoal Civil";"NUNO";"01/03/2011 15:49"
"317,000000";"280850,000000";"857";"Projetos Especiais - Orçamento";"333050";"";"Peças de Reposição e Acessórios";"NUNO";"20/09/2011 10:33"
"318,000000";"277914,000000";"857";"Projetos Especiais - Orçamento";"333614";"";"Monitores";"NUNO";"01/03/2011 16:16"
"319,000000";"278139,000000";"857";"Projetos Especiais - Orçamento";"333616";"";"Ajuda de Custo a Colaboradores Eventuais";"NUNO";"01/03/2011 16:23"
"320,000000";"278015,000000";"857";"Projetos Especiais - Orçamento";"333912";"";"Serviços, Programas e Aplicativos de Informática";"NUNO";"01/03/2011 16:23"
"321,000000";"280664,000000";"174";"Acréscimos Orçamentários - Orçamento";"333050";"";"Peças de Reposição e Acessórios";"NUNO";"02/03/2011 14:03"
"322,000000";"277957,000000";"174";"Acréscimos Orçamentários - Orçamento";"333616";"";"Ajuda de Custo a Colaboradores Eventuais";"NUNO";"02/03/2011 14:25"
"323,000000";"280966,000000";"174";"Acréscimos Orçamentários - Orçamento";"333980";"";"Conservação e Manutenção de Bens Móveis e Imóveis";"NUNO";"18/04/2011 09:23"
"324,000000";"278112,000000";"179";"Convênios";"332001";"";"Auxílio Financeiro a Pesquisadores";"NUNO";"21/03/2012 10:50"
"325,000000";"280524,000000";"179";"Convênios";"333060";"";"Suprimentos de Informática";"NUNO";"21/03/2012 10:51"
"326,000000";"281210,000000";"179";"Convênios";"333061";"";"Peças, Acessórios e Componentes de Informática";"NUNO";"21/03/2012 10:52"
"327,000000";"280540,000000";"179";"Convênios";"333061";"";"Peças, Acessórios e Componentes de Informática";"NUNO";"21/03/2012 10:51"
"328,000000";"279356,000000";"179";"Convênios";"333912";"";"Serviços, Programas e Aplicativos de Informática";"NUNO";"21/03/2012 10:50"
"329,000000";"277787,000000";"179";"Convênios";"333999";"";"Outros Serviços e Encargos - Pessoa Jurídica";"NUNO";"21/03/2012 10:49"
"330,000000";"281199,000000";"179";"Convênios";"445220";"";"Equipamentos para Informática";"NUNO";"21/03/2012 10:51"
"331,000000";"283248,000000";"080";"Básica - Renda Industrial";"339220";"S";"Outras Despesas de Exercícios Anteriores";"NUNO";"17/03/2011 15:03"
"332,000000";"282608,000000";"082";"Equipamentos de Segurança - Orçamento";"333980";"";"Conservação e Manutenção de Bens Móveis e Imóveis";"NUNO";"18/03/2011 13:41"
"333,000000";"285089,000000";"081";"Manutenção de Edifícios - Orçamento";"333992";"";"Despesas Miúdas e de Pronto Pagamento";"NUNO";"07/04/2011 16:29"
"334,000000";"285771,000000";"082";"Equipamentos de Segurança - Orçamento";"333050";"";"Peças de Reposição e Acessórios";"NUNO";"15/04/2011 11:16"
"335,000000";"284465,000000";"174";"Acréscimos Orçamentários - Orçamento";"333090";"";"Outros Materiais de Consumo";"NUNO";"14/06/2011 08:25"
"336,000000";"284570,000000";"174";"Acréscimos Orçamentários - Orçamento";"333981";"";"Reforma de Bens Imóveis";"NUNO";"18/04/2011 09:37"
"337,000000";"285909,000000";"857";"Projetos Especiais - Renda Industrial";"333041";"S";"Material de Escritório Papeis em Geral e Impressos";"NUNO";"19/03/2012 14:03"
"338,000000";"284724,000000";"857";"Projetos Especiais - Renda Industrial";"333061";"S";"Peças, Acessórios e Componentes de Informática";"NUNO";"18/04/2011 14:14"
"339,000000";"285917,000000";"857";"Projetos Especiais - Renda Industrial";"445231";"S";"Máquinas e Motores";"NUNO";"18/04/2011 14:59"
"340,000000";"288878,000000";"179";"Convênios - Renda Industrial";"449301";"S";"Indenizações e Restituições - Bens de Capital";"NUNO";"23/05/2011 10:41"
"341,000000";"287065,000000";"080";"Básica - Orçamento";"333981";"";"Reforma de Bens Imóveis";"NUNO";"23/05/2011 16:26"
"342,000000";"288886,000000";"179";"Convênios";"339301";"";"Indenizações e Restituições Diversas";"NUNO";"25/03/2013 13:22"
"343,000000";"289033,000000";"174";"Acréscimos Orçamentários - Orçamento";"333981";"";"Reforma de Bens Imóveis";"NUNO";"22/11/2012 16:02"
"344,000000";"293910,000000";"080";"Básica - Orçamento";"333941";"";"Serviço de Lavanderia";"NUNO";"19/08/2011 15:02"
"345,000000";"296269,000000";"857";"Projetos Especiais - Orçamento";"333992";"";"Despesas Miudas e de Pronto Pagamento";"NUNO";"20/09/2011 10:34"
"346,000000";"297362,000000";"857";"Projetos Especiais - Renda Industrial";"333616";"S";"Ajuda de Custo a Colaboradores Eventuais";"NUNO";"20/09/2011 14:08"
"347,000000";"298156,000000";"857";"Projetos Especiais - Renda Industrial";"333992";"S";"Despesas Miudas e de Pronto Pagamento";"NUNO";"20/09/2011 14:11"
"348,000000";"297028,000000";"080";"Básica - Orçamento";"445110";"";"Estudos e Projetos";"NUNO";"22/09/2011 15:18"
"349,000000";"299330,000000";"080";"Básica - Orçamento";"333981";"";"Reforma de Bens Imóveis";"NUNO";"24/10/2011 14:26"
"350,000000";"298954,000000";"080";"Básica - Orçamento";"445235";"";"Equipamentos e Mobiliários Médico-Hospitalar, Odontológico";"NUNO";"25/10/2011 09:11"
"351,000000";"299861,000000";"082";"Equipamentos de Segurança - Orçamento";"445234";"";"Outros Equipamentos e Material Permanente";"NUNO";"25/10/2011 09:42"
"352,000000";"300118,000000";"857";"Projetos Especiais - Orçamento";"333041";"";"Materiais de Escritório, Papeis em Geral e Impressos";"NUNO";"25/10/2011 12:44"
"353,000000";"300975,000000";"857";"Projetos Especiais - Orçamento";"333090";"";"Outros Materiais de Consumo";"NUNO";"25/10/2011 13:40"
"354,000000";"299713,000000";"857";"Projetos Especiais - Orçamento";"333919";"";"Locação de Equipamentos Diversos";"NUNO";"25/10/2011 13:40"
"355,000000";"300096,000000";"857";"Projetos Especiais - Orçamento";"333983";"";"Serviços Gráficos";"NUNO";"25/10/2011 14:00"
"356,000000";"301947,000000";"866";"Pro-Ed - Orçamento";"333999";"";"Outros Serviços e Encargos - Pessoa Jurídica";"NUNO";"25/03/2013 09:51"
"357,000000";"305209,000000";"081";"Manutenção de Edifícios - Renda Industrial";"333992";"S";"Despesas Miúdas e de Pronto Pagamento";"NUNO";"13/12/2011 09:18"
"358,000000";"302293,000000";"867";"NAPES - Renda Industrial";"331801";"S";"Auxilio Financeiro a Estudantes";"NUNO";"14/12/2011 08:42"
"359,000000";"305454,000000";"867";"NAPES - Renda Industrial";"333611";"S";"Outras Remunerações de Serviços Pessoais";"NUNO";"14/12/2011 08:43"
"360,000000";"302838,000000";"867";"NAPES - Renda Industrial";"333614";"S";"Monitores";"NUNO";"14/12/2011 08:43"
"361,000000";"302781,000000";"867";"NAPES - Renda Industrial";"333616";"S";"Ajuda de Custo a Colaboradores Eventuais";"NUNO";"14/12/2011 08:44"
"362,000000";"303583,000000";"867";"NAPES - Renda Industrial";"333992";"S";"Despesas Miúdas e de Pronto Pagamento";"NUNO";"14/12/2011 08:45"
"363,000000";"300584,000000";"867";"NAPES - Renda Industrial";"333999";"S";"Outros Serviços e Encargos - Pessoa Juridica";"NUNO";"26/03/2013 08:25"
"364,000000";"306094,000000";"867";"NAPES - Renda Industrial";"445220";"S";"Equipamentos para Informática";"NUNO";"17/02/2012 08:53"
"365,000000";"303796,000000";"867";"NAPES - Renda Industrial";"445234";"S";"Outros Equipamentos e Material Permanente";"NUNO";"14/12/2011 08:47"
"366,000000";"310320,000000";"080";"Básica - Renda Industrial";"331416";"S";"Diárias Exterior";"NUNO";"16/02/2012 09:04"
"367,000000";"308511,000000";"857";"Projetos Especiais - Renda Industrial";"331401";"S";"Diárias Pessoal Civil - Nacional";"NUNO";"16/02/2012 14:57"
"368,000000";"310338,000000";"857";"Projetos Especiais - Renda Industrial";"331416";"S";"Diárias Exterior";"NUNO";"16/02/2012 15:03"
"369,000000";"310834,000000";"867";"NAPES - Renda Industrial";"331401";"S";"Diárias Pessoal Civil - Nacional";"NUNO";"19/03/2012 14:39"
"370,000000";"310362,000000";"080";"Básica - Orçamento";"331416";"";"Diárias Exterior";"NUNO";"23/02/2012 10:43"
"371,000000";"306640,000000";"080";"Básica - Orçamento";"333945";"";"Seguros";"NUNO";"23/02/2012 10:43"
"372,000000";"311946,000000";"083";"Manut. e Reposição de Equipamentos de Informática - Orçamento";"333061";"";"Peças, Acessórios e Componentes de Informática";"NUNO";"24/02/2012 14:53"
"373,000000";"307396,000000";"857";"Projetos Especiais - Orçamento";"331401";"";"Diárias Pessoal Civil - Nacional";"NUNO";"24/02/2012 15:16"
"374,000000";"310370,000000";"857";"Projetos Especiais - Orçamento";"331416";"";"Diárias - Exterior";"NUNO";"24/02/2012 15:16"
"375,000000";"312071,000000";"866";"Pro-Ed - Orçamento";"445234";"";"Outros Equipamentos e Material Permanente";"NUNO";"22/11/2012 15:44"
"376,000000";"314171,000000";"866";"Pro-Ed - Orçamento";"445220";"";"Equipamentos para Informática";"NUNO";"19/03/2012 11:00"
"377,000000";"312179,000000";"857";"Projetos Especiais - Renda Industrial";"333611";"S";"Outras Remunerações de Serviços Pessoais";"NUNO";"19/03/2012 14:04"
"378,000000";"310346,000000";"867";"NAPES - Renda Industrial";"331416";"S";"Diárias Exterior";"NUNO";"19/03/2012 14:26"
"379,000000";"313841,000000";"867";"NAPES - Renda Industrial";"333981";"S";"Reforma de Bens Imóveis";"NUNO";"25/04/2012 14:05"
"380,000000";"314937,000000";"080";"Básica - Orçamento";"333927";"";"Gerenciamento de Abastecimento de Combustível";"NUNO";"21/03/2012 09:30"
"381,000000";"8067,000000";"867";"NAPES - Renda Industrial";"867";"S";"Saldo Financeiro";"NUNO";"08/01/2013 15:13"
